record_id,station_id,date,parameter,observed_value,unit
REC0043,ST003,2023-07-01,Turbidity,10.16,NTU
REC0044,ST003,2023-08-01,Turbidity,10.57,NTU
REC0045,ST003,2023-09-01,Turbidity,11.03,NTU
REC0046,ST003,2023-10-01,Turbidity,11.54,NTU
REC0047,ST003,2023-11-01,Turbidity,12.11,NTU
REC0048,ST003,2023-12-01,Turbidity,12.49,NTU
REC0049,ST003,2024-01-01,Turbidity,12.88,NTU
REC0050,ST003,2024-02-01,Turbidity,13.31,NTU
REC0051,ST003,2024-03-01,Turbidity,13.74,NTU
REC0052,ST003,2024-04-01,Turbidity,14.28,NTU
REC0053,ST003,2024-05-01,Turbidity,14.76,NTU
REC0054,ST003,2024-06-01,Turbidity,15.21,NTU
REC0055,ST004,2023-01-01,Nitrate,4.08,mg/L
REC0056,ST004,2023-02-01,Nitrate,4.11,mg/L
REC0057,ST004,2023-03-01,Nitrate,4.14,mg/L
REC0058,ST004,2023-04-01,Nitrate,4.09,mg/L
REC0059,ST004,2023-05-01,Nitrate,4.05,mg/L
REC0060,ST004,2023-06-01,Nitrate,4.02,mg/L
REC0061,ST004,2023-07-01,Nitrate,4.01,mg/L
REC0062,ST004,2023-08-01,Nitrate,4.03,mg/L
REC0063,ST004,2023-09-01,Nitrate,4.05,mg/L
REC0064,ST004,2023-10-01,Nitrate,4.08,mg/L
REC0065,ST004,2023-11-01,Nitrate,4.06,mg/L
REC0066,ST004,2023-12-01,Nitrate,4.07,mg/L
REC0067,ST004,2024-01-01,Nitrate,4.09,mg/L
REC0068,ST004,2024-02-01,Nitrate,4.12,mg/L
REC0069,ST004,2024-03-01,Nitrate,4.14,mg/L
REC0070,ST004,2024-04-01,Nitrate,4.12,mg/L
REC0071,ST004,2024-05-01,Nitrate,4.08,mg/L
REC0072,ST004,2024-06-01,Nitrate,4.04,mg/L
REC0073,ST005,2023-01-01,Dissolved Oxygen,6.72,mg/L
REC0074,ST005,2023-02-01,Dissolved Oxygen,6.84,mg/L
REC0075,ST005,2023-03-01,Dissolved Oxygen,6.96,mg/L
REC0076,ST005,2023-04-01,Dissolved Oxygen,7.09,mg/L
REC0077,ST005,2023-05-01,Dissolved Oxygen,7.17,mg/L
REC0078,ST005,2023-06-01,Dissolved Oxygen,7.26,mg/L
REC0079,ST005,2023-07-01,Dissolved Oxygen,7.33,mg/L
REC0080,ST005,2023-08-01,Dissolved Oxygen,7.45,mg/L
REC0081,ST005,2023-09-01,Dissolved Oxygen,7.54,mg/L
REC0082,ST005,2023-10-01,Dissolved Oxygen,7.63,mg/L
REC0083,ST005,2023-11-01,Dissolved Oxygen,7.75,mg/L
REC0084,ST005,2023-12-01,Dissolved Oxygen,7.84,mg/L
REC0085,ST005,2024-01-01,Dissolved Oxygen,7.93,mg/L
REC0086,ST005,2024-02-01,Dissolved Oxygen,8.01,mg/L
REC0087,ST005,2024-03-01,Dissolved Oxygen,8.11,mg/L
REC0088,ST005,2024-04-01,Dissolved Oxygen,8.19,mg/L
REC0089,ST005,2024-05-01,Dissolved Oxygen,8.28,mg/L
REC0090,ST005,2024-06-01,Dissolved Oxygen,8.36,mg/L
REC0091,ST006,2023-01-01,Turbidity,7.42,NTU
REC0092,ST006,2023-02-01,Turbidity,7.76,NTU
REC0093,ST006,2023-03-01,Turbidity,8.14,NTU
REC0094,ST006,2023-04-01,Turbidity,8.55,NTU
REC0095,ST006,2023-05-01,Turbidity,8.98,NTU
REC0096,ST006,2023-06-01,Turbidity,9.34,NTU
REC0097,ST006,2023-07-01,Turbidity,9.78,NTU
REC0098,ST006,2023-08-01,Turbidity,10.23,NTU
REC0099,ST006,2023-09-01,Turbidity,10.67,NTU
REC0100,ST006,2023-10-01,Turbidity,11.15,NTU
REC0101,ST006,2023-11-01,Turbidity,11.63,NTU
REC0102,ST006,2023-12-01,Turbidity,12.04,NTU
REC0103,ST006,2024-01-01,Turbidity,12.46,NTU
REC0104,ST006,2024-02-01,Turbidity,12.92,NTU
REC0105,ST006,2024-03-01,Turbidity,13.34,NTU
REC0106,ST006,2024-04-01,Turbidity,13.78,NTU
REC0107,ST006,2024-05-01,Turbidity,14.21,NTU
REC0108,ST006,2024-06-01,Turbidity,14.68,NTU
